run,model,version,step,epoch,loss,learning_rate,source
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,780,0.11162790697674418,1.8728,3.714830710538865e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,790,0.11305903398926655,1.9482,3.7625178826895566e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,800,0.11449016100178891,1.8978,3.810205054840248e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,810,0.11592128801431127,1.7829,3.85789222699094e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,820,0.11735241502683363,1.6551,3.9055793991416314e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,830,0.118783542039356,1.8147,3.953266571292323e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,840,0.12021466905187836,1.8572,4.000953743443014e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,850,0.12164579606440072,2.006,4.0486409155937055e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,860,0.12307692307692308,1.8145,4.096328087744397e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,870,0.12450805008944543,1.9008,4.144015259895088e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,880,0.1259391771019678,1.8274,4.1917024320457796e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,890,0.12737030411449016,1.8313,4.239389604196471e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,900,0.12880143112701253,1.6514,4.287076776347163e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,910,0.13023255813953488,1.878,4.3347639484978544e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,920,0.13166368515205726,1.8671,4.382451120648546e-05,final trainer_log.jsonl
Qwen2.5-7B · LoRA-v1,Qwen2.5-7B,LoRA-v1,930,0.1330948121645796,1.749,4.4301382927992377e-05,final trainer_log.jsonl
